1,4076,52.159531
2,525,51.814571
3,335,53.495224
4,283,56.449387
6,544,74.520821
9,123,89.143700
13,75,116.002151
19,50,173.839783
28,37,170.423386
42,29,137.006180
63,165,153.208725
94,9,131.834106
141,77,125.571533
211,5,82.773605
316,5,85.461113
474,3,84.103790
711,1,86.455666
1066,3,79.305763
1599,10,88.871346
2398,1,69.428764
3597,2,73.588051
5395,1,69.752327
8092,0,65.914696
12138,0,68.157494
18207,0,66.878426
27310,0,63.999165
40965,0,71.319031
61447,0,65.119621
92170,0,62.719730
138255,0,66.439812
207382,0,61.439911
311073,0,64.319916
466609,0,61.519989
699913,0,60.959984
1049869,0,58.879993
