N,K,time
1288000,403,84.959846
1289000,376,79.609734
1290000,400,111.576256
1291000,387,76.941124
1292000,382,78.250282
1293000,407,83.500008
1294000,1421,134.217957
1295000,37,76.604538
1296000,42,82.035744
1297000,42,78.123367
1298000,41,79.416756
1299000,40,81.820564
1300000,44,81.566887
1301000,1329,146.188370
1302000,45,77.786697
1303000,345,91.820709
1304000,48,87.083458
1305000,43,84.233971
1306000,37,81.343979
1307000,42,76.557495
1308000,39,74.407417
1309000,40,77.256393
1310000,38,75.495598
1311000,34,76.824333
1312000,37,73.552101
1313000,1340,142.659851
1314000,49,87.372032
1315000,40,76.800095
1316000,34,76.027985
1317000,40,73.213821
1318000,44,78.212387
1319000,46,75.467964
1320000,41,89.212914
1321000,46,79.341225
1322000,41,76.369934
1323000,41,80.719551
1324000,37,74.267998
1325000,42,78.288887
1326000,51,75.661880
1327000,44,86.510506
1328000,414,109.367691
1329000,401,79.123833
1330000,431,82.163963
1331000,384,86.168533
1332000,378,298.794952
1333000,412,78.831032
1334000,382,88.543320
1335000,395,108.252151
1336000,430,76.164543
1337000,401,78.081467
1338000,397,78.247177
1339000,398,86.078842
1340000,397,79.725487
1341000,422,90.293991
1342000,418,82.161301
1343000,408,77.656906
1344000,413,78.221558
1345000,45,76.359482
1346000,48,79.053291
1347000,39,72.566154
1348000,40,76.498421
1349000,53,75.098892
1350000,40,94.567207
1351000,402,81.980499
1352000,439,84.016769
1353000,398,78.433624
1354000,58,77.315285
1355000,40,80.025032
1356000,52,85.481750
1357000,47,95.449989
1358000,42,77.017334
1359000,46,75.673492
1360000,42,76.177589
1361000,38,75.712807
1362000,53,86.023903
1363000,44,81.615425
1364000,43,88.410141
1365000,44,73.502426
1366000,432,94.139175
1367000,412,86.376663
1368000,431,95.283623
1369000,1386,135.250854
1370000,407,80.045197
1371000,422,94.137138
1372000,48,78.466797
1373000,420,82.995926
1374000,426,111.968048
1375000,404,89.844994
1376000,425,116.467216
1377000,58,83.985603
1378000,41,82.982666
1379000,50,76.721214
1380000,35,73.519653
1381000,50,78.528778
1382000,53,81.692291
1383000,46,97.965614
1384000,42,77.552841
1385000,43,76.302177
1386000,42,82.868477
1387000,52,73.575829
1388000,43,80.410805
1389000,40,75.158333
1390000,41,76.768669
1391000,39,79.230171
1392000,1403,144.236603
1393000,1560,139.698547
1394000,444,79.584839
1395000,1416,172.964294
1396000,36,85.997902
1397000,46,80.430260
1398000,46,84.422401
1399000,46,79.204681
1400000,48,79.896515
1401000,37,75.576500
1402000,51,86.928368
1403000,48,81.161896
1404000,55,78.672081
1405000,55,79.602325
1406000,42,78.344948
1407000,34,76.529839
1408000,36,76.399239
1409000,36,81.289711
1410000,36,78.293282
1411000,47,80.143158
1412000,40,81.494446
1413000,45,84.574471
1414000,1423,185.946655
1415000,56,86.270058
1416000,61,84.546371
1417000,50,104.032913
1418000,41,80.402641
1419000,54,83.511887
1420000,450,79.396179
1421000,420,83.383446
1422000,50,109.950073
1423000,44,89.356094
1424000,51,81.954422
1425000,429,85.539101
1426000,40,79.846069
1427000,53,77.051521
1428000,44,75.410736
1429000,59,82.666718
1430000,47,83.996613
1431000,50,79.836311
1432000,52,79.046402
1433000,450,90.407303
1434000,47,137.641586
1435000,433,81.042725
1436000,447,78.603386
1437000,437,76.143288
1438000,44,108.655128
1439000,444,140.602524
1440000,49,85.687454
1441000,52,75.388176
1442000,46,96.389198
1443000,50,83.651360
1444000,55,81.272682
1445000,51,91.525269
1446000,46,75.003174
1447000,46,86.805717
1448000,45,103.487648
1449000,50,86.293205
1450000,52,120.131348
1451000,48,75.697479
1452000,50,81.521004
1453000,43,81.329605
1454000,43,77.642570
1455000,53,77.798523
1456000,48,84.008163
1457000,215,94.197968
1458000,459,79.166504
1459000,52,92.518517
1460000,50,125.408638
1461000,52,85.134346
1462000,51,105.564301
1463000,46,108.345848
1464000,42,85.744102
1465000,56,82.439819
1466000,50,115.296387
1467000,47,110.124008
1468000,47,119.101151
1469000,52,90.016068
1470000,48,82.470161
1471000,53,77.444168
1472000,56,85.029694
1473000,50,103.519691
1474000,56,80.020439
1475000,49,85.232841
1476000,53,164.545776
1477000,43,85.416557
1478000,50,87.271912
1479000,46,83.020470
1480000,53,76.361259
1481000,55,85.471664
1482000,48,80.314445
1483000,50,116.458939
1484000,44,85.114014
1485000,48,84.022224
1486000,43,92.921211
1487000,52,81.015640
1488000,59,111.644798
1489000,52,85.838516
1490000,44,104.498627
1491000,47,110.426872
1492000,46,84.997742
1493000,44,80.373520
1494000,55,89.123550
1495000,41,112.420212
1496000,53,85.340736
1497000,49,82.617195
1498000,46,86.234360
1499000,43,117.040962
1500000,56,81.531815
1501000,55,88.093468
1502000,48,80.733643
1503000,52,79.177299
1504000,56,87.371216
1505000,50,83.481888
1506000,42,79.256905
1507000,55,84.543900
1508000,54,82.939995
1509000,50,82.802101
1510000,50,75.127716
1511000,1749,183.296585
1512000,51,103.648598
1513000,47,75.516159
1514000,47,79.855362
1515000,45,75.352806
1516000,1535,180.781830
1517000,47,83.776161
1518000,1535,137.744080
1519000,1830,150.565109
1520000,474,86.677299
1521000,47,74.976601
1522000,41,83.474808
1523000,41,77.856087
1524000,57,78.696686
1525000,58,117.424065
1526000,51,73.970421
1527000,48,116.998772
1528000,54,83.478477
1529000,461,315.226532
1530000,469,90.738541
1531000,448,79.447617
1532000,54,94.464874
1533000,49,76.283165
1534000,52,87.217056
1535000,58,81.304604
1536000,47,78.869324
1537000,53,87.832703
1538000,55,113.398521
1539000,46,84.857872
1540000,47,73.894363
1541000,62,84.567398
1542000,46,80.750000
1543000,55,85.245537
1544000,52,79.800972
1545000,61,81.051018
1546000,54,101.692451
1547000,52,123.820145
1548000,49,84.692314
1549000,49,79.917839
1550000,64,124.749023
1551000,46,78.184547
1552000,59,90.114212
1553000,57,89.085289
1554000,47,86.942490
1555000,45,86.114479
1556000,49,81.544968
1557000,55,81.312622
1558000,48,130.934433
1559000,47,115.103378
1560000,1594,161.030563
1561000,477,109.815674
1562000,490,107.664459
1563000,490,89.330887
1564000,57,83.747742
1565000,58,114.234558
1566000,49,127.334862
1567000,47,115.804588
1568000,44,110.375130
1569000,46,80.392883
1570000,488,104.790901
1571000,53,111.041603
1572000,1600,220.156601
1573000,52,78.365204
1574000,46,120.537354
1575000,493,76.358490
1576000,107,90.727928
1577000,467,101.451019
1578000,467,87.704689
1579000,483,94.546654
1580000,500,93.196609
1581000,507,121.350594
1582000,1596,163.961212
1583000,53,81.543724
1584000,53,116.193298
1585000,56,125.855492
1586000,488,105.162292
1587000,479,128.655396
1588000,470,103.993599
1589000,488,108.985298
1590000,446,96.774597
1591000,465,110.983429
1592000,491,121.194206
1593000,474,112.659645
1594000,471,110.498299
1595000,42,121.944801
1596000,518,115.958908
1597000,512,92.351562
1598000,462,98.281250
1599000,47,136.712234
1600000,501,101.517441
1601000,49,117.252525
1602000,492,89.977882
1603000,58,118.446861
1604000,50,99.303833
1605000,60,126.298157
1606000,1628,198.464081
1607000,45,109.358322
1608000,505,98.308571
1609000,49,129.976257
1610000,44,123.992882
1611000,56,119.055664
1612000,52,101.024376
1613000,52,126.429657
1614000,510,111.614853
1615000,51,120.800270
1616000,508,130.641739
1617000,60,124.758545
1618000,507,77.629280
1619000,489,125.607666
1620000,520,77.332008
1621000,50,117.284729
1622000,512,137.718994
1623000,48,112.471931
1624000,1641,169.125488
1625000,60,114.714127
1626000,48,91.363335
1627000,54,129.222183
1628000,51,123.731094
1629000,45,116.319923
1630000,56,124.268852
1631000,51,105.806076
1632000,52,108.030006
1633000,53,101.934616
1634000,56,162.577530
1635000,52,125.913887
1636000,43,116.964424
1637000,49,127.216766
1638000,52,126.623535
1639000,47,121.821945
1640000,49,128.561935
1641000,55,111.093155
1642000,55,109.219337
1643000,47,103.964996
1644000,57,117.218636
1645000,58,118.969238
1646000,56,109.533371
1647000,55,118.434158
1648000,50,129.536865
1649000,58,128.684280
1650000,55,122.079941
1651000,49,128.073334
1652000,502,87.531731
1653000,52,113.806267
1654000,51,123.056625
1655000,47,109.412926
1656000,60,126.031105
1657000,54,105.706001
1658000,51,118.386726
1659000,50,122.175797
1660000,52,121.482452
1661000,48,116.605324
1662000,51,121.175621
1663000,56,116.918488
1664000,53,114.375458
1665000,64,133.423218
1666000,58,120.910110
1667000,59,124.967346
1668000,64,122.397896
1669000,55,135.705109
1670000,52,124.690308
1671000,56,122.791313
1672000,57,117.437920
1673000,1866,118.987129
1674000,504,98.810188
1675000,537,100.538078
1676000,501,123.425484
1677000,506,112.916565
1678000,533,102.783653
1679000,58,116.107559
1680000,54,123.794334
1681000,50,114.224976
1682000,51,116.415009
1683000,69,121.896667
1684000,66,113.203209
1685000,71,112.580360
1686000,58,121.981903
1687000,55,107.612221
1688000,58,104.368591
1689000,488,129.706070
1690000,60,112.828133
1691000,45,124.514366
1692000,57,113.566750
1693000,57,108.635841
1694000,50,79.217773
1695000,54,123.118965
1696000,57,121.431442
1697000,57,128.101410
1698000,61,137.285065
1699000,59,120.449043
1700000,48,108.054245
1701000,47,116.759064
1702000,64,141.934143
1703000,40,117.878197
1704000,55,106.084206
1705000,57,102.579758
1706000,51,130.425964
1707000,53,123.112015
1708000,61,127.740067
1709000,60,134.983154
1710000,60,110.558662
1711000,47,107.981064
1712000,545,96.516090
1713000,60,130.232391
1714000,63,133.273193
1715000,514,75.492607
1716000,529,123.043449
1717000,503,79.607964
1718000,569,125.020500
1719000,550,94.922112
1720000,516,109.760376
1721000,524,101.846558
1722000,540,94.694298
1723000,541,132.708588
1724000,539,121.102791
