1,26821,49.802666
2,14441,53.960499
3,30114,55.393799
4,18961,67.107468
6,32720,102.167717
9,27885,177.226410
13,81908,329.535553
19,24829,710.394775
28,24671,537.966248
42,24433,604.612061
63,24365,674.224121
94,24443,693.955811
141,747,290.190033
211,513,244.467148
316,3203,202.818375
474,296,166.808441
711,19,183.439713
1066,15,168.561096
1599,82,138.734741
2398,7,116.471130
3597,3,104.177521
5395,20,99.092773
8092,1,92.957237
12138,12,95.394066
18207,1,92.311241
27310,3,76.398766
40965,0,78.558556
61447,2,72.399879
92170,0,69.959694
138255,0,70.879799
207382,0,69.999901
311073,0,70.319931
466609,0,64.559959
699913,0,69.559967
1049869,0,64.119980
1574803,0,64.279991
2362204,0,65.399994
3543306,0,67.599998
5314959,0,78.040001
7972438,0,74.839996
11958657,0,67.120003
