s,k,time
32001,0,99.633003
32101,0,83.633514
32201,0,88.451836
32301,0,81.451912
32401,1,90.634766
32501,0,75.998352
32601,0,106.359810
32701,0,76.361832
32801,0,108.723419
32901,1,82.908051
33001,0,80.725899
33101,0,73.817169
33201,0,98.360970
33301,1,71.636108
33401,0,81.725502
33501,0,83.633736
33601,0,104.450592
33701,0,81.815659
33801,0,96.906586
33901,0,71.999321
34001,0,70.454857
34101,0,83.270340
34201,0,101.541603
34301,0,82.906456
34401,0,86.635040
34501,0,100.723000
34601,0,77.089424
34701,1,81.470085
34801,0,82.088692
34901,0,80.726089
35001,0,84.088837
35101,0,79.997795
35201,0,91.814560
35301,0,84.724533
35401,0,95.269318
35501,0,82.906395
35601,0,80.088921
35701,0,85.815430
35801,1,3749.066650
35901,0,80.361191
36001,0,80.907700
36101,0,84.360870
36201,0,99.177368
36301,0,79.997734
36401,0,84.542969
36501,0,76.361908
36601,0,83.906960
36701,0,77.816544
36801,0,87.180267
36901,0,84.361084
37001,0,85.179955
37101,0,82.543755
37201,0,117.176521
37301,0,70.544968
37401,0,90.633354
37501,0,84.724991
37601,0,99.815552
37701,0,85.451546
37801,0,81.089676
37901,0,79.634636
38001,0,84.815697
38101,0,82.543427
38201,0,94.359871
38301,0,89.087471
38401,0,103.177292
38501,0,81.088699
38601,0,119.084152
38701,0,82.907143
38801,0,74.272408
38901,0,76.725960
39001,0,85.998039
39101,0,82.179848
39201,0,78.999214
39301,0,83.633537
39401,0,84.089043
39501,0,83.997528
39601,0,81.089424
39701,0,79.998123
39801,0,78.998741
39901,0,83.997612
40001,0,72.454231
40101,0,82.906883
40201,0,81.362068
40301,0,86.179161
40401,0,88.361275
40501,0,87.633492
40601,0,79.543945
40701,0,72.726448
40801,0,80.362381
40901,0,70.908600
41001,0,93.451317
41101,0,77.089386
41201,0,84.907234
41301,0,86.543381
41401,0,88.634201
41501,1,92.363922
41601,0,82.452881
41701,1,79.643242
41801,0,77.726433
41901,0,72.726555
42001,0,78.907829
42101,0,77.089767
42201,0,79.634964
42301,0,85.451996
42401,0,80.725922
42501,0,83.270561
42601,0,79.180344
42701,0,84.724899
42801,0,80.634964
42901,0,95.269043
43001,0,75.726791
43101,0,78.907867
43201,0,81.998169
43301,0,82.907196
43401,1,118.724632
43501,0,86.543770
43601,1,88.005005
43701,1,85.817520
43801,1,88.361992
43901,0,85.088669
44001,0,97.542404
44101,0,85.815582
44201,1,82.552238
44301,0,83.634529
44401,0,89.634453
44501,0,89.815338
44601,1,80.818405
44701,0,87.270233
44801,0,130.539688
44901,0,81.089226
45001,0,80.635101
45101,0,82.907394
45201,0,92.179169
45301,0,89.088318
45401,0,90.906853
45501,1,82.181213
45601,0,81.090363
45701,0,79.271332
45801,0,80.908417
45901,0,82.907135
46001,0,79.725960
46101,0,80.726532
46201,0,72.999825
46301,0,75.635361
46401,0,73.090370
46501,1,78.181419
46601,0,89.816277
46701,0,81.816422
46801,0,85.453239
46901,0,81.816643
47001,0,89.815948
47101,0,70.544800
47201,0,90.816177
47301,0,84.725212
47401,0,84.089401
47501,0,83.634483
47601,0,81.998863
47701,0,81.089142
47801,0,77.271851
47901,0,78.181061
48001,0,130.813080
48101,0,86.543167
48201,0,82.362587
48301,0,93.452118
48401,0,97.270363
48501,0,81.452873
48601,0,91.361610
48701,0,82.907219
48801,0,81.635078
48901,0,82.180267
49001,0,86.362137
49101,0,71.635880
49201,0,87.816292
49301,0,77.453316
49401,0,72.636284
49501,0,75.998978
49601,0,71.727242
49701,0,78.907761
49801,0,80.999123
49901,0,81.816422
50001,0,83.453415
50101,0,74.181244
50201,0,81.180389
50301,0,83.270851
50401,0,79.271881
50501,0,73.453735
50601,0,82.453125
50701,0,86.179794
50801,0,80.089951
50901,0,85.089020
51001,0,74.090210
51101,0,73.453674
51201,0,89.271271
51301,0,75.271759
51401,0,72.363388
51501,0,92.360832
51601,0,90.179611
51701,0,73.090218
51801,0,79.453445
51901,0,72.726540
52001,0,78.635345
52101,0,82.907471
52201,0,83.634956
52301,0,76.726349
52401,0,83.816803
52501,0,79.635536
52601,0,80.271736
52701,0,82.180527
52801,0,88.270866
52901,0,85.088989
53001,0,61.727848
53101,0,74.180977
53201,0,83.907722
53301,0,81.816765
53401,0,88.725456
53501,0,82.180344
53601,0,99.543678
53701,0,85.089203
53801,0,61.728359
53901,0,91.270638
54001,0,83.180573
54101,0,79.998947
54201,0,81.089622
54301,0,88.725349
54401,0,76.090195
54501,0,82.543869
54601,0,74.181351
54701,0,82.907410
54801,0,73.544624
54901,0,77.816902
55001,0,76.635536
55101,0,93.088264
55201,0,90.634216
55301,0,86.544159
55401,0,94.815788
55501,0,77.817261
55601,0,74.908592
55701,0,77.453522
55801,0,119.268021
55901,0,83.635002
56001,0,88.998177
56101,0,82.907600
56201,0,70.090897
56301,0,83.998512
56401,0,82.998924
56501,0,86.544159
56601,0,79.817017
56701,0,92.724869
56801,0,79.090263
56901,0,76.362686
57001,0,79.544441
57101,0,85.089249
57201,0,79.726265
57301,0,84.725639
57401,0,97.270508
57501,0,91.634171
57601,0,82.908058
57701,0,76.362534
57801,0,87.544220
57901,0,84.362175
58001,0,86.362251
58101,0,75.272034
58201,0,72.545181
58301,0,82.180595
58401,0,112.996284
58501,0,65.090851
58601,0,82.907768
58701,0,87.634407
58801,0,79.454231
58901,0,82.544022
59001,0,79.544594
59101,0,79.635429
59201,0,82.998589
59301,0,90.543518
59401,0,79.090012
59501,0,81.817101
59601,0,71.999886
59701,0,85.452988
59801,1,1519.242065
59901,0,84.362175
60001,0,89.998482
60101,0,89.089081
60201,0,79.999352
60301,0,81.453201
60401,0,80.090034
60501,0,82.544037
60601,0,81.726372
60701,0,81.453247
60801,0,80.453735
60901,0,90.543488
61001,0,84.999138
61101,0,82.544159
61201,0,80.544769
61301,0,80.726044
61401,0,67.818413
61501,0,82.907715
61601,0,83.817055
61701,0,86.543823
61801,0,86.816910
61901,0,79.635139
62001,0,79.908150
62101,0,76.362923
62201,0,80.544456
62301,0,83.998497
62401,0,87.907738
62501,0,86.907326
62601,0,81.998802
62701,0,72.726776
62801,0,81.726288
62901,0,85.453003
63001,0,79.635506
63101,0,90.543465
63201,0,80.908226
63301,0,84.725929
63401,0,82.271645
63501,0,83.635071
63601,0,82.271706
63701,0,75.999138
63801,0,79.999008
63901,0,79.271828
64001,0,94.452980
64101,0,81.453438
64201,0,83.089844
64301,0,78.907928
64401,0,76.999420
64501,0,83.271576
64601,0,82.181000
64701,0,91.634491
64801,0,94.180901
64901,0,83.271355
65001,0,84.544495
65101,0,81.089615
65201,0,88.544197
65301,0,77.089912
65401,0,82.998993
65501,0,78.544434
65601,0,76.273155
65701,0,85.816742
65801,0,85.998787
65901,0,81.453415
66001,0,102.543678
66101,0,87.271019
66201,0,83.817238
66301,0,76.726433
66401,0,73.908783
66501,0,77.453621
66601,0,90.180290
66701,0,78.908150
66801,0,92.998238
66901,0,77.453957
67001,0,109.089012
67101,1,170.545181
67201,0,111.997688
67301,0,82.180603
67401,0,97.635132
67501,0,84.362297
67601,0,89.362541
67701,0,101.815605
67801,0,82.181114
67901,0,84.725761
68001,0,104.270950
68101,0,83.998810
68201,0,80.453682
68301,0,79.999001
68401,0,94.544365
68501,1,85.453125
68601,0,80.181267
68701,0,82.180725
68801,0,74.999901
68901,0,84.362175
69001,0,80.544456
69101,0,70.181534
69201,0,82.635384
69301,0,78.180801
69401,0,77.090309
69501,0,78.180901
69601,0,65.636497
69701,0,75.999283
69801,0,84.271553
69901,0,85.089569
70001,0,82.817070
70101,0,83.999268
70201,0,87.180733
70301,0,83.271431
70401,0,85.907730
70501,0,78.180855
70601,0,82.089806
70701,0,72.362923
70801,0,71.817963
70901,0,73.817543
71001,0,73.726944
71101,0,77.453705
71201,0,82.362518
71301,0,76.726402
71401,0,83.635330
71501,0,80.362480
71601,0,96.270844
71701,0,76.726578
71801,0,112.087921
71901,0,81.453621
72001,0,84.090118
72101,0,92.725395
72201,0,84.090172
72301,0,79.271797
72401,0,74.636383
72501,0,79.999016
72601,0,77.635742
72701,0,73.817665
72801,0,75.999405
72901,0,83.271523
73001,0,75.363197
73101,0,90.543762
73201,0,82.544411
73301,0,95.997856
73401,0,85.635124
73501,0,73.090363
73601,0,80.726601
73701,0,70.545174
73801,0,80.908585
73901,0,74.545273
74001,0,107.725861
74101,0,82.180725
74201,0,81.362579
74301,0,115.269341
74401,0,81.635628
74501,0,102.906624
74601,0,96.453316
74701,0,82.544136
74801,0,80.635735
74901,0,94.907181
75001,0,114.452271
75101,0,85.816704
75201,0,81.635666
