1,116285,49.939651
2,64546,54.756821
3,55616,58.325165
4,54075,84.757187
6,51035,135.836807
9,50258,168.912674
13,49674,276.448975
19,49234,336.439178
28,48946,278.185913
42,48848,754.455017
63,48714,688.326721
94,239,277.917847
141,74253,704.917480
211,48514,765.846313
316,48496,639.130310
474,72,299.481476
711,46,313.885132
1066,38,183.079453
1599,24,154.900055
2398,9,151.407654
3597,8,161.213013
5395,4,138.972229
8092,4,105.951408
12138,3,93.872910
18207,2,88.158783
27310,14,108.675842
40965,0,73.199295
61447,2,755.597961
92170,2,75.599701
138255,0,78.239532
207382,0,66.919952
311073,0,78.679848
466609,0,70.919922
699913,1,1119.832275
1049869,0,77.799965
1574803,0,69.839981
2362204,0,72.520027
3543306,0,66.599991
5314959,0,64.959999
7972438,0,66.880005
11958657,0,64.639999
17937985,0,66.080002
