1,2150,51.579395
2,2049,52.569855
3,178,53.667061
4,1670,67.039253
6,1994,101.688026
9,60,63.438877
13,36,121.644951
19,255,81.943428
28,172,90.003624
42,11,109.721962
63,6,83.674713
94,7,98.479889
141,6,77.102150
211,24,91.508087
316,14,98.706131
474,15,68.456955
711,1,71.033936
1066,4,72.545036
1599,4,68.000053
2398,3,69.751350
3597,0,71.100922
5395,1,80.315666
8092,1,63.522686
12138,0,67.836128
18207,0,67.517372
27310,0,66.798927
40965,0,62.399731
61447,0,71.520203
92170,0,59.199814
138255,0,58.400002
207382,0,54.799980
311073,0,63.199936
466609,0,57.439987
699913,0,62.079987
