1,17933,52.467484
2,8427,52.918610
3,7186,58.657990
4,6578,71.342636
6,6376,98.863525
9,6270,166.988678
13,162,125.739807
19,970,172.131393
28,82,205.610886
42,534,228.368103
63,39,246.035141
94,29,170.799179
141,15,152.350540
211,121,157.254028
316,93,117.561844
474,4,93.196320
711,48,109.504845
1066,4,83.770531
1599,3,83.695518
2398,12,88.235970
3597,9,88.937950
5395,0,70.595116
8092,4,75.198120
12138,0,71.434669
18207,1,73.916115
27310,0,68.318665
40965,0,63.999420
61447,0,67.479561
92170,0,67.519676
138255,0,62.679928
207382,0,62.719837
311073,1,65.160309
466609,0,62.079956
699913,0,66.719971
1049869,0,60.159988
1574803,0,61.199989
2362204,0,59.520000
