1,16374,51.303593
2,14858,53.450005
3,13508,54.184048
4,14971,66.391693
6,2367,70.975891
9,41523,213.091125
13,12394,253.307007
19,1987,168.040298
28,1432,147.679535
42,101,248.382889
63,74,256.693390
94,527,245.105911
141,37,176.578522
211,238,168.549179
316,15,161.613632
474,14,160.482620
711,6,140.979309
1066,6,120.271904
1599,5,92.178932
2398,1,91.817406
3597,2,81.116753
5395,1,82.670135
8092,1,81.115021
12138,0,73.436493
18207,5,71.720291
27310,0,67.999321
40965,0,72.399033
61447,1,63.480480
92170,0,70.159691
138255,0,69.159798
207382,0,75.039734
311073,0,64.639931
466609,0,64.719948
699913,0,65.399979
1049869,0,66.239967
1574803,0,62.040001
2362204,0,64.399994
3543306,0,66.080002
5314959,0,65.239998
